1p. Locale broad type (name),1q. Census Region,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration
Rural,South,47.0,5038.0,9.0,56275.0,0.14,8.548146104,68.19445327
Rural,Midwest,41.0,1483.0,4.0,56268.0,0.20600000000000002,8.645910736,61.48438488
Suburban,Midwest,16.0,1963.0,5.0,57965.0,0.131,8.717522741,57.79366256
Rural,Midwest,22.0,1419.0,4.0,53552.0,0.114,7.472806447,55.39692473
Urban,Midwest,164.0,22937.0,57.0,46111.0,0.174,7.998752732,57.38926403
Rural,Midwest,13.0,147.0,2.0,60625.0,0.14300000000000002,3.963076582,55.28731949
Rural,West,25.0,2888.0,9.0,80889.0,0.071,4.699629428,55.85507646
Suburban,Midwest,1.0,8134.0,4.0,61778.0,0.12300000000000001,10.27494908,65.43004025
Town,Northeast,15.0,751.0,2.0,79736.0,0.055999999999999994,6.750427523,57.14739921
Rural,Midwest,7.0,238.0,3.0,49410.0,0.166,7.364114553,55.15483575
Suburban,Midwest,22.0,2468.0,5.0,86219.0,0.053,8.091538842,57.48431674
Rural,South,14.0,435.0,2.0,42632.0,0.27699999999999997,8.272511341,60.37209309
Rural,Midwest,14.0,495.0,2.0,63846.0,0.10400000000000001,6.940892018,55.70428825
Rural,West,90.0,6770.0,12.0,69773.0,0.08,4.491770316,55.17144835
Town,Midwest,11.0,1211.0,4.0,63046.0,0.08,8.368965978,61.07341335
Suburban,Midwest,72.0,6377.0,11.0,87722.0,0.063,7.146255298,57.07448894
Rural,West,2.0,122.0,1.0,108958.0,0.083,8.363300822,62.6802
Urban,South,215.0,26821.0,52.0,51132.0,0.203,9.668197355,59.72930261
Rural,South,98.0,6748.0,17.0,60606.0,0.14400000000000002,8.035665774,60.19914884
Rural,West,16.0,470.0,5.0,104722.0,0.069,6.170744252,49.10563144
Suburban,South,372.0,21179.0,31.0,79201.0,0.08199999999999999,10.00269437,65.47284784
Rural,West,4.0,149.0,3.0,39964.0,0.079,4.27994809,55.44244908
Rural,South,14.0,787.0,3.0,52946.0,0.177,8.78554304,57.19154701
Rural,West,5.0,914.0,2.0,50250.0,0.10300000000000001,5.544379781,54.83451
Rural,Midwest,5.0,300.0,2.0,70431.0,0.096,6.808716712,57.62413584
Suburban,Northeast,1.0,973.0,2.0,69621.0,0.18600000000000003,8.385105027,68.03713294
Rural,Midwest,1.0,779.0,5.0,58406.0,0.081,5.643578045,60.12842964
Rural,West,12.0,400.0,5.0,67226.0,0.105,0.0,0.0
Rural,Midwest,11.0,725.0,2.0,76438.0,0.064,6.802309826,59.05725051
Rural,Northeast,16.0,609.0,2.0,66843.0,0.035,6.987045497,56.76377239
Town,West,101.0,5051.0,15.0,74639.0,0.127,4.853927627,62.39698882
Town,Midwest,16.0,782.0,4.0,64623.0,0.11199999999999999,8.177061405,62.90892427
Rural,South,10.0,491.0,3.0,68611.0,0.171,8.590171471,62.09123199
Rural,Midwest,24.0,1686.0,4.0,48024.0,0.12300000000000001,8.625112449,59.85498366
Town,Midwest,34.0,937.0,4.0,59087.0,0.16699999999999998,8.014634442,59.16836841
Rural,Midwest,10.0,510.0,2.0,60833.0,0.028999999999999998,9.40516062,61.11260655
Suburban,Midwest,32.0,2894.0,7.0,37530.0,0.244,9.554444501,67.27177512
Suburban,Midwest,53.0,3562.0,6.0,119497.0,0.034,8.446742051,61.74657113
Rural,Midwest,8.0,593.0,2.0,51875.0,0.13,7.949078891,58.95267133
Rural,West,5.0,73.0,2.0,70921.0,0.039,6.936963425,52.50807
Rural,West,5.0,405.0,1.0,51667.0,0.316,11.15374233,76.82023862
Rural,Midwest,8.0,337.0,2.0,59891.0,0.067,8.776809072,59.83706623
Town,Midwest,32.0,2238.0,5.0,55689.0,0.128,6.981944103,57.82542454
Town,West,34.0,9352.0,18.0,55717.0,0.136,4.938086585,52.8541601
Rural,South,5.0,167.0,1.0,67727.0,0.106,7.81045411,63.32953
Town,Midwest,18.0,1386.0,5.0,44693.0,0.242,7.261161053,56.59245178
Suburban,Northeast,57.0,5138.0,6.0,97564.0,0.059000000000000004,7.62195301,65.69348319
Suburban,Northeast,6.0,1522.0,3.0,85948.0,0.077,7.856495554,61.24399266
Rural,Midwest,10.0,400.0,2.0,62150.0,0.037000000000000005,8.433237351,59.65253033
Rural,Midwest,11.0,453.0,3.0,81591.0,0.147,7.819980493,59.78299603
Rural,South,8.0,370.0,1.0,66964.0,0.006,8.184077808,64.04709
Rural,South,7.0,101.0,2.0,47679.0,0.121,7.228202186,61.1546385
Town,South,58.0,9947.0,14.0,52134.0,0.17,7.774166678,58.75530812
Town,Midwest,5.0,463.0,1.0,94437.0,0.066,8.58062937,59.66183769
Rural,South,8.0,237.0,1.0,37727.0,0.10800000000000001,7.403290629,59.00323743
Urban,West,11.0,8639.0,6.0,130984.0,0.059000000000000004,7.099180197,62.28102529
Town,South,60.0,5776.0,7.0,62500.0,0.11900000000000001,8.99200447,63.15913771
Rural,Midwest,9.0,408.0,2.0,60592.0,0.11900000000000001,8.989992453,58.88639538
Town,Midwest,24.0,1028.0,2.0,61080.0,0.1,7.794521372,60.12353937
Rural,West,5.0,236.0,3.0,56163.0,0.098,5.27581512,53.81655116
Rural,Midwest,16.0,506.0,3.0,73219.0,0.069,7.536387594,59.63356014
Rural,Midwest,10.0,590.0,2.0,65000.0,0.107,7.965168453,56.46926594
Town,Midwest,27.0,1919.0,4.0,56204.0,0.11,6.388031392,56.58712644
Urban,West,140.0,16583.0,37.0,58335.0,0.193,8.853848877,51.65157755
Rural,South,24.0,1497.0,5.0,51599.0,0.139,6.844738665,56.44241531
Urban,Midwest,50.0,2840.0,14.0,32352.0,0.355,7.864072827,57.51342976
Rural,South,86.0,5689.0,15.0,43029.0,0.18,7.1398856,58.7956523
Town,West,1.0,1736.0,6.0,40143.0,0.28,3.585406623,59.15105942
Suburban,Northeast,31.0,6328.0,11.0,86264.0,0.073,8.70501257,63.05025012
Urban,South,38.0,3667.0,9.0,36567.0,0.31,9.197950142,57.98599217
Suburban,West,14.0,4129.0,8.0,85059.0,0.12,10.95928299,64.79944642
Rural,Midwest,10.0,580.0,2.0,65600.0,0.10800000000000001,6.012671696,59.52399346
Town,Midwest,10.0,1135.0,6.0,52760.0,0.136,5.87766051,57.43677571
Town,Northeast,12.0,5377.0,9.0,55052.0,0.161,6.250460096,53.52332688
Rural,Midwest,7.0,493.0,4.0,54509.0,0.096,7.725108508,58.63052778
Suburban,Midwest,6.0,620.0,2.0,57468.0,0.159,8.997000565,61.73997278
Town,Midwest,13.0,1278.0,4.0,53313.0,0.092,7.399914236,59.95743104
Rural,Midwest,20.0,935.0,3.0,45201.0,0.174,6.844718156,59.31876615
Rural,West,8.0,39.0,3.0,53750.0,0.138,4.234848027,54.29866
Suburban,West,2.0,217.0,3.0,109083.0,0.057,6.391261624,50.85408495
Rural,Midwest,11.0,599.0,3.0,59390.0,0.09,6.944431373,60.19142424
Suburban,Northeast,2.0,1613.0,2.0,156145.0,0.038,8.746682604,64.63340099
Rural,Midwest,21.0,498.0,4.0,74265.0,0.076,4.096596144,55.08944543
Town,South,30.0,4840.0,8.0,52211.0,0.136,8.15381751,58.66172337
Town,South,12.0,801.0,3.0,62829.0,0.08199999999999999,7.119263836,63.33694
Town,West,23.0,1398.0,3.0,61375.0,0.10800000000000001,5.647387512,44.81392649
Rural,South,29.0,1020.0,3.0,48311.0,0.131,9.314393125,56.11873925
Rural,Midwest,2.0,356.0,3.0,71667.0,0.059000000000000004,5.302198456,58.44292492
Suburban,West,103.0,33107.0,44.0,153475.0,0.049,7.330266531,59.22280939
Rural,Midwest,15.0,1243.0,5.0,53692.0,0.08900000000000001,8.293409618,57.28908181
Rural,West,5.0,521.0,3.0,42237.0,0.365,3.750181391,61.75117593
Town,South,57.0,4002.0,8.0,63197.0,0.09699999999999999,7.498559476,58.71719434
Suburban,West,2.0,1020.0,3.0,54550.0,0.209,8.847335575,72.9310242
Suburban,Northeast,50.0,2386.0,6.0,131313.0,0.04,7.565895524,60.65317998
Suburban,Midwest,26.0,1776.0,4.0,85479.0,0.042,8.773883566,60.79155296
Rural,Midwest,14.0,365.0,2.0,55511.0,0.081,7.27669768,56.41518388
Rural,Midwest,13.0,922.0,3.0,56406.0,0.133,8.097751323,58.05615102
Suburban,South,1248.0,118010.0,91.0,84451.0,0.083,10.27777817,69.15266941
Rural,South,28.0,2211.0,4.0,58791.0,0.106,9.450136882,61.3353098
Town,Midwest,8.0,847.0,2.0,93727.0,0.033,9.217842982,60.14441309
Rural,Midwest,10.0,871.0,3.0,74713.0,0.052000000000000005,7.673853683,56.40126443
Rural,Midwest,11.0,486.0,2.0,55147.0,0.094,7.836614439,57.57677509
Urban,West,201.0,28714.0,68.0,57792.0,0.153,8.838526275,55.27565122
Rural,West,8.0,214.0,1.0,58125.0,0.159,6.568536985,49.36923683
Urban,Midwest,9.0,9286.0,26.0,60011.0,0.191,5.950602813,58.25342127
Town,Northeast,22.0,1220.0,3.0,44183.0,0.13699999999999998,4.767046005,48.20198149
Town,West,52.0,4405.0,11.0,56413.0,0.177,4.606250204,54.07707411
Suburban,Northeast,19.0,958.0,2.0,99259.0,0.08800000000000001,6.047515891,72.42764606
Rural,Midwest,8.0,737.0,3.0,70643.0,0.07200000000000001,5.43062641,54.40044155
Rural,West,5.0,379.0,1.0,81000.0,0.063,7.42153999,66.42387678
Rural,Midwest,10.0,739.0,3.0,79526.0,0.040999999999999995,7.852240809,59.9995091
Suburban,West,21.0,9943.0,15.0,96517.0,0.081,10.45706926,87.62803587
Suburban,Midwest,14.0,1948.0,4.0,44983.0,0.12300000000000001,8.426066295,62.240276
Rural,Midwest,3.0,59.0,2.0,44135.0,0.174,7.012682796,58.18130043
Rural,Northeast,23.0,681.0,2.0,67179.0,0.10400000000000001,6.616121776,57.80688842
Rural,West,9.0,329.0,1.0,62813.0,0.048,6.542995553,54.34870236
Rural,West,4.0,13.0,1.0,31544.0,0.268,7.715222055,52.89903469
Rural,West,1.0,11.0,1.0,70347.0,0.22399999999999998,5.692164877,52.60409
Rural,South,6.0,77.0,1.0,42065.0,0.035,6.306258904,62.211
Urban,South,171.0,33387.0,57.0,56387.0,0.179,8.955930909,59.16501016
Rural,South,41.0,6003.0,7.0,82333.0,0.09699999999999999,8.94001358,60.80495212
Town,Midwest,16.0,1495.0,3.0,63292.0,0.061,7.140422205,59.51542683
Rural,Midwest,4.0,380.0,3.0,50400.0,0.222,6.987019392,55.48023979
Rural,South,32.0,1200.0,3.0,61291.0,0.155,6.723305664,61.52332396
Rural,Midwest,35.0,2001.0,4.0,78693.0,0.049,7.096644742,58.6665413
Rural,Midwest,9.0,963.0,4.0,53310.0,0.18899999999999997,7.137215324,57.12303602
Suburban,West,211.0,32888.0,50.0,83804.0,0.055,6.350698227,64.69053717
Rural,West,10.0,1055.0,7.0,77481.0,0.096,6.029237603,45.29023263
Rural,Midwest,5.0,139.0,2.0,70000.0,0.226,7.23895863,56.36047
Rural,South,14.0,508.0,3.0,62321.0,0.161,8.768077146,60.63798316
Rural,Midwest,13.0,190.0,2.0,60000.0,0.145,7.083294441,56.65540165
Rural,West,3.0,38.0,1.0,49167.0,0.188,7.455657815,50.49185289
Suburban,Northeast,28.0,3837.0,6.0,154300.0,0.032,6.7547583,60.65317178
Suburban,South,94.0,8920.0,14.0,53489.0,0.179,7.637411162,60.83698698
Town,Midwest,29.0,2088.0,5.0,51504.0,0.16899999999999998,7.882620549,64.18621702
Suburban,Midwest,21.0,2036.0,3.0,74053.0,0.077,10.08188346,65.29727944
Town,Midwest,1.0,980.0,4.0,73333.0,0.076,9.00998346,59.54161987
Rural,Northeast,11.0,435.0,3.0,50744.0,0.09699999999999999,4.271915691,50.64457266
Rural,West,32.0,1679.0,4.0,69127.0,0.098,9.241252007,52.77618195
Suburban,Midwest,32.0,2558.0,6.0,36476.0,0.287,9.843997143,61.97041744
Rural,Midwest,21.0,837.0,2.0,56143.0,0.087,8.388050268,58.9985077
Town,Midwest,14.0,1274.0,5.0,52984.0,0.151,8.169085247,57.4072518
Town,Northeast,34.0,987.0,2.0,51780.0,0.145,6.751449472,58.80396366
Rural,Midwest,6.0,155.0,1.0,42500.0,0.14300000000000002,6.778741108,54.00355942
Rural,West,6.0,219.0,2.0,51979.0,0.16699999999999998,5.393588767,62.77475
Suburban,Midwest,22.0,3574.0,5.0,92693.0,0.035,7.250702799,56.66942495
Rural,Midwest,8.0,309.0,2.0,61957.0,0.115,6.779398169,59.07781898
Suburban,Midwest,23.0,20443.0,29.0,94107.0,0.07,9.375593654,63.01941538
Rural,South,29.0,1885.0,4.0,67051.0,0.10800000000000001,8.982375098,59.63759067
Rural,South,10.0,452.0,2.0,42250.0,0.151,8.559401738,59.00669855
Rural,South,95.0,3977.0,10.0,52540.0,0.14300000000000002,8.214908185,57.28214041
Rural,South,13.0,730.0,6.0,53080.0,0.171,8.182113401,60.02160146
Town,Midwest,23.0,1913.0,5.0,53324.0,0.203,8.575412698,59.92157851
Rural,South,50.0,1937.0,4.0,65047.0,0.094,8.197268538,60.99543875
Suburban,South,42.0,4272.0,7.0,44890.0,0.213,7.909564734,59.84930793
Rural,West,8.0,726.0,2.0,62188.0,0.08900000000000001,4.715240065,46.2844836
Rural,West,5.0,466.0,2.0,84651.0,0.063,5.08578352,64.79164267
Rural,South,14.0,300.0,2.0,33417.0,0.251,9.303038414,60.50468061
Rural,Midwest,1.0,89.0,4.0,46827.0,0.135,3.478911864,55.53215031
Rural,Midwest,22.0,1413.0,3.0,90958.0,0.057,9.604520793,60.71627001
Rural,Midwest,5.0,109.0,2.0,48125.0,0.142,4.97192099,56.42912594
Town,South,41.0,1397.0,4.0,29063.0,0.309,9.111262301,58.44430145
Rural,Midwest,28.0,1762.0,2.0,62641.0,0.11699999999999999,8.518321571,59.19296332
Suburban,South,1033.0,188843.0,234.0,68874.0,0.11599999999999999,6.901360247,56.38216395
Town,South,7.0,829.0,3.0,23512.0,0.475,7.295087536,58.59328082
Rural,Midwest,40.0,2266.0,7.0,66776.0,0.12,8.403898233,60.73281882
Rural,Midwest,11.0,490.0,2.0,80711.0,0.098,8.423265229,59.76565633
Rural,Midwest,32.0,1325.0,3.0,61671.0,0.077,8.335163401,59.22255762
Rural,Midwest,8.0,737.0,3.0,63167.0,0.10800000000000001,7.904720672,60.98717796
Suburban,Midwest,89.0,9293.0,10.0,89835.0,0.05,9.582608322,63.81014239
Rural,Northeast,3.0,188.0,1.0,68158.0,0.078,4.254863014,56.67555
Urban,Midwest,437.0,22027.0,57.0,43171.0,0.24600000000000002,10.22509163,63.01846805
Rural,South,102.0,9129.0,21.0,76791.0,0.105,8.188650754,60.15666004
Town,Midwest,18.0,1172.0,3.0,36556.0,0.245,7.419320093,56.42097846
Town,South,58.0,2827.0,4.0,39350.0,0.182,9.402011286,59.19723876
Rural,South,9.0,556.0,2.0,54835.0,0.121,8.672283793,56.96339997
Rural,Northeast,22.0,584.0,2.0,69698.0,0.076,6.876674124,58.38521392
Suburban,Northeast,6.0,1826.0,5.0,113738.0,0.046,8.764166884,63.92581784
Rural,West,9.0,444.0,1.0,100179.0,0.043,6.007436521,45.68201
Town,Midwest,14.0,1006.0,4.0,47426.0,0.19399999999999998,6.999482488,55.97670275
Suburban,Midwest,40.0,2953.0,5.0,78000.0,0.075,7.825818355,62.69457543
Town,South,73.0,6398.0,13.0,47020.0,0.198,6.910196841,57.97140931
Town,South,28.0,1603.0,4.0,49127.0,0.16899999999999998,9.172030163,56.69346347
Urban,South,165.0,12340.0,21.0,44070.0,0.262,9.725033395,61.55233137
Suburban,Midwest,47.0,6724.0,11.0,68825.0,0.07400000000000001,7.924425658,57.09986167
Urban,West,141.0,37572.0,55.0,65040.0,0.092,4.636559374,61.51667989
Town,Northeast,33.0,1949.0,6.0,62696.0,0.091,5.789068867,52.7501025
Rural,West,36.0,3146.0,6.0,74857.0,0.098,5.808319639,61.63259628
Suburban,South,197.0,38356.0,51.0,62171.0,0.122,9.227344146,63.41808198
Rural,South,14.0,373.0,2.0,42346.0,0.166,8.173368855,56.93599786
Town,South,44.0,2785.0,5.0,41362.0,0.209,9.323453272,59.92315378
Suburban,Northeast,48.0,3028.0,4.0,80062.0,0.071,6.762145733,51.37718141
Rural,Midwest,30.0,2186.0,4.0,97243.0,0.059000000000000004,9.390866828,60.25321339
Urban,Midwest,44.0,5286.0,16.0,34712.0,0.33399999999999996,7.538766718,55.82907947
Rural,Midwest,12.0,764.0,3.0,54564.0,0.157,7.704269309,56.88045402
Town,West,11.0,551.0,7.0,47125.0,0.195,5.171503049,52.61377394
Rural,South,91.0,4702.0,15.0,41694.0,0.18899999999999997,6.53358347,57.5950582
Urban,South,306.0,34810.0,44.0,81816.0,0.084,9.052161696,66.55394926
