1p. Locale broad type (name),1q. Census Region,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration,5b. Percent non-white and/or Hispanic,0a. Has committed ESBs?
Rural,West,Yes,1.0,124.0,2.0,53750.0,0.226,0.0,0.0,0.457330416,0.0
Town,West,No,27.0,2228.0,12.0,83765.0,0.078,0.0,0.0,0.525949463,0.0
Rural,West,Yes,1.0,334.0,13.0,49688.0,0.157,0.0,0.0,0.756592292,0.0
Town,West,No,194.0,19705.0,49.0,79300.0,0.107,0.0,0.0,0.222953552,0.0
Town,West,Yes,16.0,306.0,8.0,38250.0,0.28,0.0,0.0,0.87161066,0.0
Rural,West,Yes,3.0,311.0,3.0,58229.0,0.17600000000000002,0.0,0.0,0.938408304,0.0
Rural,West,Yes,2.0,1858.0,2.0,43750.0,0.276,0.0,0.0,0.547602004,0.0
Rural,West,No,5.0,719.0,4.0,91375.0,0.073,0.0,0.0,0.736004109,0.0
Urban,West,No,138.0,12703.0,33.0,78321.0,0.064,0.0,0.0,0.316307939,0.0
Rural,West,Yes,11.0,2044.0,11.0,83992.0,0.086,0.0,0.0,0.717901519,0.0
Rural,West,Yes,1.0,1911.0,13.0,68654.0,0.205,0.0,0.0,0.897505144,0.0
Rural,West,Yes,16.0,12.0,1.0,62528.0,0.105,0.0,0.0,0.556510529,0.0
Rural,West,Yes,3.0,438.0,3.0,71696.0,0.048,0.0,0.0,0.393111639,0.0
Rural,West,Yes,16.0,57.0,2.0,65000.0,0.259,0.0,0.0,0.692982456,0.0
Rural,West,Yes,2.0,203.0,1.0,41875.0,0.29600000000000004,0.0,0.0,0.967201341,0.0
Rural,West,Yes,16.0,152.0,1.0,75000.0,0.048,0.0,0.0,0.261851016,0.0
Rural,West,Yes,6.0,170.0,8.0,55025.0,0.157,0.0,0.0,0.429182617,0.0
Rural,West,Yes,5.0,631.0,8.0,46250.0,0.233,0.0,0.0,0.855888957,0.0
Rural,West,Yes,16.0,29.0,1.0,47500.0,0.2,0.0,0.0,0.547602004,0.0
Rural,West,Yes,3.0,346.0,2.0,94271.0,0.065,0.0,0.0,0.787969578,0.0
Rural,West,Yes,16.0,147.0,4.0,49716.0,0.092,0.0,0.0,0.556510529,0.0
Rural,West,Yes,3.0,318.0,9.0,44167.0,0.266,0.0,0.0,0.970915271,0.0
Rural,West,Yes,5.0,912.0,4.0,78750.0,0.157,0.0,0.0,0.20347508,0.0
Rural,West,Yes,1.0,197.0,6.0,32083.0,0.26,0.0,0.0,0.559952978,0.0
Rural,West,Yes,9.0,653.0,4.0,99151.0,0.044000000000000004,0.0,0.0,0.245120291,0.0
Urban,West,Yes,16.0,637.0,4.0,59167.0,0.14300000000000002,0.0,0.0,0.323834197,0.0
Rural,West,Yes,16.0,92.0,2.0,72083.0,0.073,0.0,0.0,0.695729537,0.0
Suburban,West,Yes,2.0,3100.0,10.0,42708.0,0.19899999999999998,0.0,0.0,0.760773352,0.0
Rural,West,Yes,3.0,264.0,3.0,54891.0,0.121,0.0,0.0,0.431544866,1.0
Town,Midwest,Yes,16.0,702.0,29.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,1.0
Suburban,West,No,54.0,9632.0,6.0,86202.0,0.084,7.10196344,65.33717027,0.563793788,1.0
Urban,West,No,2.0,4499.0,8.0,123397.0,0.052000000000000005,5.075455461,70.38340593,0.120686553,0.0
Town,West,No,27.0,2438.0,4.0,48292.0,0.071,4.149613192,60.80350288,0.175061412,0.0
Rural,West,Yes,3.0,124.0,1.0,46273.0,0.08199999999999999,4.654600289,58.68596479,0.131392604,0.0
Town,West,No,16.0,1141.0,5.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,194.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,258.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,170.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,Yes,8.0,623.0,2.0,56486.0,0.354,3.925564822,60.45769,0.23975704,0.0
Rural,West,Yes,8.0,123.0,1.0,62656.0,0.142,3.940093527,63.52414192,0.368240638,0.0
Rural,West,Yes,36.0,1053.0,3.0,25179.0,0.40299999999999997,3.664351768,59.17216565,0.980624488,0.0
Rural,West,Yes,19.0,507.0,4.0,41925.0,0.163,3.985505948,62.92886724,0.307329736,0.0
Town,West,No,16.0,99.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,1022.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,218.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,685.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,216.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,63.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,331.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,203.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,73.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,313.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,1665.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,491.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,814.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,91.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,67.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,West,No,16.0,3145.0,4.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,182.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,111.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,443.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,238.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,457.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,1349.0,4.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,No,16.0,411.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,No,16.0,68.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,159.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,550.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,West,No,16.0,377.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,West,Yes,29.0,1906.0,3.0,46192.0,0.172,4.563081474,61.76206139,0.278515938,0.0
